# ----------------------------------------
# Pages and screens: Page path and screen class
# 계정: creatrip
# 속성: Creatrip GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260327
# 종료일: 20260423
페이지 경로 + 쿼리 문자열,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,참여율,이탈률,세션당 평균 참여 시간
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnvx0qe17FN3BgAIunYpukEtWqFgYYG03kP-Mv_OLw1prVSyMRKkh5yTSgtOU_aem_uEaF5ajl91HCftnNUNT_vA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnxKKBa40kFKzlL0otniR_b9uI_4ewbBjwRtkxoF8KD8z8P_s7HjOlPAjV-Ao_aem_tz_aKRc6Xyenfgk1B7Id8A,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnxkYQXB_rJ5XCBqoshdiDA8_1tvDysi0fQhdAUlSaI_3JdzOdbwMtvsGel8M_aem_OAfTjgKaZUILtvJOggJuEA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnaknxIo9lktvRNUEbJxWpZhll6j8c5-s3xp9sX9OZYR5zHq0nDyO36ESk9DI_aem_GbtecefD7pEldOUtj0bhaQ,1,1,1,0,1,0,0,1,0,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnb5_9e1MZRIduDdrML_rm5R-e-sdS88RcueBytR_LIJ5myyZ-Mcj8qL5G0TQ_aem_W8Bibsx4J9fmqGf1CecJtQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnkvOrl6bzegELcjK1VWD98ToTWNgLcnhkrtqBcEhhaNkeT0zDBp_qTmrA11k_aem_V8oR_quh4gDsTREZYtA7nA,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnwKl88irxVXHCKVTHIAp9lTRUF9ZCCgYX6bHyK8dwWpIeJHxBK_0kuuZISy0_aem_i0LpL8zItDEKucn6hrCCYw,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnwNK96cIE6BIV1AxeA7Uxuwh0vWe1JXRKJ9AUYQHO7BRPkjyuPExSB8KXCm0_aem_uBJ-4yiGsvaafdkuCFzRNg,1,0,0,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAdGRleARN4UdleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAadhJkz8b9SG3FHoc_ZK6SrRCy4iPiYhlYjAD6Sv8PR9ZZZffC0NtqwRyM_urw_aem_5kGjeM0OLi9l2TmMZZRT9Q,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAdGRleARNZ0ZleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacwaBsfJA91L0G8jHJxCqjiWmxCepL8Dfmf35tuak7F0TNDIRwKoQmG4H4k7Q_aem_JlOdcoANtLvhzah_yB4H4w,1,1,1,0,1,0,0,0,1,0
