rank,blog_code,segment,impressions,clicks,ctr
515,5214,passing,136,0,0.000000
516,5222,low,61,0,0.000000
517,5256,low,82,0,0.000000
518,5257,passing,64,0,0.000000
519,5263,passing,913,0,0.000000
520,5266,passing,147,0,0.000000
521,5267,passing,502,0,0.000000
522,5282,low,57,0,0.000000
523,5286,hidden,60,0,0.000000
524,5289,low,58,0,0.000000
525,5294,passing,694,0,0.000000
526,5310,passing,195,0,0.000000
527,5321,low,106,0,0.000000
528,5326,passing,227,0,0.000000
529,5332,killer,262,0,0.000000
530,5343,passing,109,0,0.000000
531,5351,low,52,0,0.000000
532,5352,low,75,0,0.000000
533,5353,passing,1155,0,0.000000
534,5357,passing,279,0,0.000000
535,5359,passing,187,0,0.000000
536,5376,passing,83,0,0.000000
537,5377,low,357,0,0.000000
538,5379,killer,117,0,0.000000
539,5384,passing,51,0,0.000000
540,5386,passing,3069,0,0.000000
541,5404,비여행,141,0,0.000000
542,5407,비여행,54,0,0.000000
543,5410,passing,441,0,0.000000
544,5412,passing,1318,0,0.000000
545,5420,passing,239,0,0.000000
546,5433,passing,248,0,0.000000
547,5439,passing,127,0,0.000000
548,5446,passing,58,0,0.000000
549,5448,비여행,408,0,0.000000
550,5486,passing,172,0,0.000000
551,5495,passing,142,0,0.000000
552,5507,passing,392,0,0.000000
553,5512,비여행,72,0,0.000000
554,5518,killer,499,0,0.000000
555,5523,passing,823,0,0.000000
556,5525,hidden,82,0,0.000000
557,5559,hidden,51,0,0.000000
558,5563,low,160,0,0.000000
559,5592,low,62,0,0.000000
560,5603,low,53,0,0.000000
561,5610,비여행,80,0,0.000000
562,5614,low,136,0,0.000000
563,5621,hidden,159,0,0.000000
564,5624,passing,282,0,0.000000
565,5649,low,92,0,0.000000
566,5651,low,57,0,0.000000
567,5661,low,173,0,0.000000
568,5665,low,138,0,0.000000
569,5667,low,106,0,0.000000
570,5674,low,63,0,0.000000
571,5679,low,74,0,0.000000
572,5680,passing,925,0,0.000000
573,5681,passing,354,0,0.000000
574,5682,low,279,0,0.000000
575,5683,low,159,0,0.000000
576,5684,passing,997,0,0.000000
577,5689,passing,247,0,0.000000
578,5696,passing,55,0,0.000000
579,5708,passing,5908,0,0.000000
580,5711,passing,275,0,0.000000
581,5731,passing,464,0,0.000000
582,5734,passing,288,0,0.000000
583,5751,passing,475,0,0.000000
584,5752,passing,340,0,0.000000
585,5756,passing,87,0,0.000000
