code,name_ko,name_en,parent_code,parent_city_ko,priority,spot_count,blog_count,lang_course_count,region_count,pub_region_count,total_links,class_1st,sgg_code,sgg_name,action,action_note,review
410,남천,Namcheon,,,133,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
471,대부도,Daebudo,,,143,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
889,부산공항,Busan Airport,,,157,0,2,0,0,0,2,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
466,신포,Sinpo,,,142,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
230,안지랑,Anjirang,,,135,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
888,청주공항,Cheongju Airport,,,156,0,0,0,0,0,0,관광지,,,제거,완전무링크삭제,
223,한성대,Hanseongdae,,,126,0,1,0,0,0,1,관광지,,,제거,blog·어학당 소속구 이관 후 삭제,
98,성수동,Seongsudong,,,34,37,21,0,0,0,58,동,11200,성동구,제거,중복병합-비대표,
210,부암동,Buamdong,,,90,0,4,0,0,0,4,동,,,제거,blog·어학당 소속구 이관 후 삭제,
465,송월동,Songwoldong,,,141,0,1,0,0,0,1,동,,,제거,blog·어학당 소속구 이관 후 삭제,
216,평창동,Pyeongchangdong,,,119,0,1,0,0,0,1,동,,,제거,blog·어학당 소속구 이관 후 삭제,

# ===== 범례 (legend) =====
# [action]
# 유지 = 행정구(구·시·군). DL로 존속
# 격상 = REGION 확정 (공개REGION 재배선 / 동 신규생성 / 중복대표)
# 격상후보 = 신규 관광지 REGION 후보. 다른 팀과 논의해 유지(REGION생성) / 드롭(구흡수) 결정
# 제거 = DL 삭제
# ★ 격상후보를 '드롭' 결정하면 → action=제거, note=구흡수, 스팟은 sgg_name(소속구)로 재태깅
# [action_note]
# 빈구-legal앵커 = 링크 없는 행정구지만 legal 기준점이라 유지
# 구-공개REGION연결有(신모델) = 이 구가 이미 공개 REGION에 연결됨
# 기존공개REGION재배선 = 공개 REGION 이미 존재(홍대·명동 등). 신규생성 말고 재배선
# 신규REGION생성 = 새 REGION 생성 (동 등)
